Время,Заголовок,Комментарии
,,,
"<a class=""tahoma font12"" href=""/4993880-prezidentam-kazahstana-i-rossii.html"" target=""_blank"">Президентам Казахстана и России представили ряд совместных проектов</a>","<span class=""tahoma font12 date n3"">23:52</span>","<a class=""tahoma font12"" href=""/4993880-prezidentam-kazahstana-i-rossii.html"" target=""_blank"">Президентам Казахстана и России представили ряд совместных проектов</a>",
"<a class=""tahoma font12"" href=""/4993797-v-almaty-podrostok-umer-na-trenirovke.html"" target=""_blank"">В Алматы подросток умер на тренировке</a>","<span class=""tahoma font12 date n3"">13:03</span>","<a class=""tahoma font12"" href=""/4993797-v-almaty-podrostok-umer-na-trenirovke.html"" target=""_blank"">В Алматы подросток умер на тренировке</a>",
"<a class=""tahoma font12"" href=""/4993795-elektronnye-denezhnye-perevody.html"" target=""_blank"">Электронные денежные переводы казахстанцев могут обложить налогом</a>","<span class=""tahoma font12 date n3"">12:49</span>","<a class=""tahoma font12"" href=""/4993795-elektronnye-denezhnye-perevody.html"" target=""_blank"">Электронные денежные переводы казахстанцев могут обложить налогом</a>",
"<a class=""tahoma font12"" href=""/4993791-v-whatsapp-izmenilis-nastroyki.html"" target=""_blank"">В WhatsApp изменились настройки приватности</a>","<span class=""tahoma font12 date n3"">12:40</span>","<a class=""tahoma font12"" href=""/4993791-v-whatsapp-izmenilis-nastroyki.html"" target=""_blank"">В WhatsApp изменились настройки приватности</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993792-naznachen-novyy-rukovoditel.html"" target=""_blank"">Назначен новый руководитель Департамента государственных доходов Алматы</a>","<span class=""tahoma font12 date n3"">12:39</span>","<a class=""tahoma font12"" href=""/4993792-naznachen-novyy-rukovoditel.html"" target=""_blank"">Назначен новый руководитель Департамента государственных доходов Алматы</a>",
"<a class=""tahoma font12"" href=""/4993790-na-kontsert-k-25-letiyu-konstitutsii-rk.html"" target=""_blank"">На концерт к 25-летию Конституции РК потратят полмиллиарда тенге</a>","<span class=""tahoma font12 date n3"">12:31</span>","<a class=""tahoma font12"" href=""/4993790-na-kontsert-k-25-letiyu-konstitutsii-rk.html"" target=""_blank"">На концерт к 25-летию Конституции РК потратят полмиллиарда тенге</a>","<span class=""comm_num"">23</span>"
"<a class=""tahoma font12"" href=""/4993789-naznachen-novyy-rukovoditel.html"" target=""_blank"">Назначен новый руководитель Департамента госдоходов Алматы</a>","<span class=""tahoma font12 date n3"">12:30</span>","<a class=""tahoma font12"" href=""/4993789-naznachen-novyy-rukovoditel.html"" target=""_blank"">Назначен новый руководитель Департамента госдоходов Алматы</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993788-kolossalnye-dengi-no-my-na-eto-poydem.html"" target=""_blank"">Колоссальные деньги. Но мы на это пойдем - Сагинтаев о медицине в Алматы</a>","<span class=""tahoma font12 date n3"">12:15</span>","<a class=""tahoma font12"" href=""/4993788-kolossalnye-dengi-no-my-na-eto-poydem.html"" target=""_blank"">Колоссальные деньги. Но мы на это пойдем - Сагинтаев о медицине в Алматы</a>",
"<a class=""tahoma font12"" href=""/4993787-skolko-kazahstantsev-skryvaetsya-ot.html"" target=""_blank"">Сколько казахстанцев скрывается от правосудия в Украине</a>","<span class=""tahoma font12 date n3"">12:13</span>","<a class=""tahoma font12"" href=""/4993787-skolko-kazahstantsev-skryvaetsya-ot.html"" target=""_blank"">Сколько казахстанцев скрывается от правосудия в Украине</a>",
"<a class=""tahoma font12"" href=""/4993784-elektronnye-denezhnye-perevody.html"" target=""_blank"">Электронные денежные переводы казахстанцев могут обложить налогом</a>","<span class=""tahoma font12 date n3"">12:07</span>","<a class=""tahoma font12"" href=""/4993784-elektronnye-denezhnye-perevody.html"" target=""_blank"">Электронные денежные переводы казахстанцев могут обложить налогом</a>","<span class=""comm_num"">139</span>"
"<a class=""tahoma font12"" href=""/4993786-berik-sholpankulov-ob-avto-iz.html"" target=""_blank"">Берик Шолпанкулов об авто из Кыргызстана и Армении: Они до сих пор на временной регистрации</a>","<span class=""tahoma font12 date n3"">12:07</span>","<a class=""tahoma font12"" href=""/4993786-berik-sholpankulov-ob-avto-iz.html"" target=""_blank"">Берик Шолпанкулов об авто из Кыргызстана и Армении: Они до сих пор на временной регистрации</a>",
"<a class=""tahoma font12"" href=""/4993782-golovkinu-ofitsialno-naznachili.html"" target=""_blank"">Головкину официально назначили соперника</a>","<span class=""tahoma font12 date n3"">12:01</span>","<a class=""tahoma font12"" href=""/4993782-golovkinu-ofitsialno-naznachili.html"" target=""_blank"">Головкину официально назначили соперника</a>",
"<a class=""tahoma font12"" href=""/4993781-dtp-na-snezhnoy-kashe-proizoshlo-v.html"" target=""_blank"">ДТП на снежной каше произошло в Алматы</a>","<span class=""tahoma font12 date n3"">11:58</span>","<a class=""tahoma font12"" href=""/4993781-dtp-na-snezhnoy-kashe-proizoshlo-v.html"" target=""_blank"">ДТП на снежной каше произошло в Алматы</a>","<span class=""comm_num"">8</span>"
"<a class=""tahoma font12"" href=""/4993780-dorogi-almaty-ochishchayut-ot-snega.html"" target=""_blank"">Дороги Алматы очищают от снега более 400 единиц техники</a>","<span class=""tahoma font12 date n3"">11:56</span>","<a class=""tahoma font12"" href=""/4993780-dorogi-almaty-ochishchayut-ot-snega.html"" target=""_blank"">Дороги Алматы очищают от снега более 400 единиц техники</a>","<span class=""comm_num"">3</span>"
"<a class=""tahoma font12"" href=""/4993779-v-almaty-prohodit-krupneyshaya-vystavka.html"" target=""_blank"">В Алматы проходит крупнейшая выставка</a>","<span class=""tahoma font12 date n3"">11:52</span>","<a class=""tahoma font12"" href=""/4993779-v-almaty-prohodit-krupneyshaya-vystavka.html"" target=""_blank"">В Алматы проходит крупнейшая выставка</a>",
"<a class=""tahoma font12"" href=""/4993778-dzholi-rasskazala-o-zhelanii-pokinut.html"" target=""_blank"">Джоли рассказала о желании покинуть США</a>","<span class=""tahoma font12 date n3"">11:51</span>","<a class=""tahoma font12"" href=""/4993778-dzholi-rasskazala-o-zhelanii-pokinut.html"" target=""_blank"">Джоли рассказала о желании покинуть США</a>","<span class=""comm_num"">5</span>"
"<a class=""tahoma font12"" href=""/4993776-7-noyabrya-den-oktyabrskoy-revolyutsii.html"" target=""_blank"">7 ноября - День Октябрьской революции 1917 года</a>","<span class=""tahoma font12 date n3"">11:43</span>","<a class=""tahoma font12"" href=""/4993776-7-noyabrya-den-oktyabrskoy-revolyutsii.html"" target=""_blank"">7 ноября - День Октябрьской революции 1917 года</a>","<span class=""comm_num"">47</span>"
"<a class=""tahoma font12"" href=""/4993773-imena-velikih-deyateley-kultury.html"" target=""_blank"">Имена великих деятелей культуры Казахстана увековечили в Театре имени Сац</a>","<span class=""tahoma font12 date n3"">11:31</span>","<a class=""tahoma font12"" href=""/4993773-imena-velikih-deyateley-kultury.html"" target=""_blank"">Имена великих деятелей культуры Казахстана увековечили в Театре имени Сац</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993772-presekat-zhestko-korruptsionnye-fakty.html"" target=""_blank"">Пресекать жестко коррупционные факты поручил Женис Касымбек</a>","<span class=""tahoma font12 date n3"">11:27</span>","<a class=""tahoma font12"" href=""/4993772-presekat-zhestko-korruptsionnye-fakty.html"" target=""_blank"">Пресекать жестко коррупционные факты поручил Женис Касымбек</a>",
"<a class=""tahoma font12"" href=""/4993771-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: CNYKZT_TOD – 55,4800/55,5100</a>","<span class=""tahoma font12 date n3"">11:17</span>","<a class=""tahoma font12"" href=""/4993771-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: CNYKZT_TOD – 55,4800/55,5100</a>",
"<a class=""tahoma font12"" href=""/4993770-podruga-podkinula-problem-revnivitsa.html"" target=""_blank"">Подкинула проблем. Ревнивица отомстила своей знакомой</a>","<span class=""tahoma font12 date n3"">11:12</span>","<a class=""tahoma font12"" href=""/4993770-podruga-podkinula-problem-revnivitsa.html"" target=""_blank"">Подкинула проблем. Ревнивица отомстила своей знакомой</a>","<span class=""comm_num"">8</span>"
"<a class=""tahoma font12"" href=""/4993768-skolko-kazahstantsev-skryvaetsya-ot.html"" target=""_blank"">Сколько казахстанцев скрывается от правосудия в Украине</a>","<span class=""tahoma font12 date n3"">10:56</span>","<a class=""tahoma font12"" href=""/4993768-skolko-kazahstantsev-skryvaetsya-ot.html"" target=""_blank"">Сколько казахстанцев скрывается от правосудия в Украине</a>","<span class=""comm_num"">5</span>"
"<a class=""tahoma font12"" href=""/4993767-udocherennaya-amerikantsami.html"" target=""_blank"">Удочеренная американцами карагандинка стала актрисой в США</a>","<span class=""tahoma font12 date n3"">10:54</span>","<a class=""tahoma font12"" href=""/4993767-udocherennaya-amerikantsami.html"" target=""_blank"">Удочеренная американцами карагандинка стала актрисой в США</a>","<span class=""comm_num"">8</span>"
"<a class=""tahoma font12"" href=""/4993765-bayandarova-obratilas-k-prezidentu.html"" target=""_blank"">Баяндарова обратилась к Президенту, рассказав о противостоянии с ""ментом, живущим по понятиям""</a>","<span class=""tahoma font12 date n3"">10:49</span>","<a class=""tahoma font12"" href=""/4993765-bayandarova-obratilas-k-prezidentu.html"" target=""_blank"">Баяндарова обратилась к Президенту, рассказав о противостоянии с ""ментом, живущим по понятиям""</a>","<span class=""comm_num"">63</span>"
"<a class=""tahoma font12"" href=""/4993766-anastasiya-shchegortsova-stala-chlenom.html"" target=""_blank"">Анастасия Щегорцова стала членом ЦИК</a>","<span class=""tahoma font12 date n3"">10:49</span>","<a class=""tahoma font12"" href=""/4993766-anastasiya-shchegortsova-stala-chlenom.html"" target=""_blank"">Анастасия Щегорцова стала членом ЦИК</a>",
"<a class=""tahoma font12"" href=""/4993764-uchenye-vpervye-za-20-let-obnaruzhili.html"" target=""_blank"">Ученые впервые за 20 лет обнаружили новый штамм ВИЧ</a>","<span class=""tahoma font12 date n3"">10:48</span>","<a class=""tahoma font12"" href=""/4993764-uchenye-vpervye-za-20-let-obnaruzhili.html"" target=""_blank"">Ученые впервые за 20 лет обнаружили новый штамм ВИЧ</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993763-v-almaty-mogut-zapretit-mangaly-i.html"" target=""_blank"">В Алматы могут запретить мангалы и тандырные печи</a>","<span class=""tahoma font12 date n3"">10:45</span>","<a class=""tahoma font12"" href=""/4993763-v-almaty-mogut-zapretit-mangaly-i.html"" target=""_blank"">В Алматы могут запретить мангалы и тандырные печи</a>","<span class=""comm_num"">47</span>"
"<a class=""tahoma font12"" href=""/4993762-ministr-torgovli-i-integratsii-rk-b.html"" target=""_blank"">Министр торговли и интеграции РК Б. Султанов обсудил с коллегами по ВТО реформы Всемирной торговой организации</a>","<span class=""tahoma font12 date n3"">10:41</span>","<a class=""tahoma font12"" href=""/4993762-ministr-torgovli-i-integratsii-rk-b.html"" target=""_blank"">Министр торговли и интеграции РК Б. Султанов обсудил с коллегами по ВТО реформы Всемирной торговой организации</a>",
"<a class=""tahoma font12"" href=""/4993760-anastasiya-shchegortsova-stala-chlenom.html"" target=""_blank"">Анастасия Щегорцова стала членом ЦИК</a>","<span class=""tahoma font12 date n3"">10:37</span>","<a class=""tahoma font12"" href=""/4993760-anastasiya-shchegortsova-stala-chlenom.html"" target=""_blank"">Анастасия Щегорцова стала членом ЦИК</a>",
"<a class=""tahoma font12"" href=""/4993758-likvidirovana-narkolaboratoriya-po.html"" target=""_blank"">Ликвидирована нарколаборатория по производству ""спайса"" в СКО</a>","<span class=""tahoma font12 date n3"">10:32</span>","<a class=""tahoma font12"" href=""/4993758-likvidirovana-narkolaboratoriya-po.html"" target=""_blank"">Ликвидирована нарколаборатория по производству ""спайса"" в СКО</a>","<span class=""comm_num"">2</span>"
"<a class=""tahoma font12"" href=""/4993757-holding-bayterek-uchastvuet-v.html"" target=""_blank"">Холдинг ""Байтерек"" участвует в Шанхайской импортной выставке</a>","<span class=""tahoma font12 date n3"">10:20</span>","<a class=""tahoma font12"" href=""/4993757-holding-bayterek-uchastvuet-v.html"" target=""_blank"">Холдинг ""Байтерек"" участвует в Шанхайской импортной выставке</a>",
"<a class=""tahoma font12"" href=""/4993754-bolee-60-tonn-zarazhennyh-zlakov.html"" target=""_blank"">Более 60 тонн зараженных овощей и фруктов запретили ввозить в Казахстан</a>","<span class=""tahoma font12 date n3"">10:07</span>","<a class=""tahoma font12"" href=""/4993754-bolee-60-tonn-zarazhennyh-zlakov.html"" target=""_blank"">Более 60 тонн зараженных овощей и фруктов запретили ввозить в Казахстан</a>","<span class=""comm_num"">2</span>"
"<a class=""tahoma font12"" href=""/4993752-avstraliyka-poteryala-zrenie-na-tri.html"" target=""_blank"">Австралийка потеряла зрение на три недели из-за татуировки</a>","<span class=""tahoma font12 date n3"">10:05</span>","<a class=""tahoma font12"" href=""/4993752-avstraliyka-poteryala-zrenie-na-tri.html"" target=""_blank"">Австралийка потеряла зрение на три недели из-за татуировки</a>","<span class=""comm_num"">4</span>"
"<a class=""tahoma font12"" href=""/4993751-podari-blizkomu-cheloveku-iphone-11-na.html"" target=""_blank"">Подари близкому человеку iPhone 11 на Новый год с ""Казцинк""</a>","<span class=""tahoma font12 date n3"">10:00</span>","<a class=""tahoma font12"" href=""/4993751-podari-blizkomu-cheloveku-iphone-11-na.html"" target=""_blank"">Подари близкому человеку iPhone 11 на Новый год с ""Казцинк""</a>","<span class=""comm_num"">1</span>"
